respondent_id,data_resposta,om,posto_graduacao,vinculo,escolaridade,s1_estado_civil,s1_familia_mesma_cidade,s1_q3_concilia_trabalho_familia,s1_q4_familia_apoia,s1_q5_cidade_boas_condicoes,s1_ativ_fisica_freq_semana,s1_q7_tempo_descanso,s1_q8_dorme_bem,s1_q9_rotina_ativ_fisica_satisfatoria,s1_nota_qualidade_vida,s1_nota_qualidade_vida_justificativa,s1_nota_equilibrio_trabalho_vida,s1_nota_equilibrio_trabalho_vida_justificativa,s1_nota_bemestar_fisico,s1_nota_bemestar_fisico_justificativa,s1_nota_bemestar_emocional,s1_nota_bemestar_emocional_justificativa,s1_q14_fe_forca_equilibrio,s1_q15_vive_religiao_sem_constrangimento,s1_q16_om_respeita_liberdade_religiosa,s1_comentario,s2_nota_sabor_rancho,s2_nota_sabor_rancho_justificativa,s2_nota_variedade_cardapio,s2_nota_variedade_cardapio_justificativa,s2_nota_quantidade_comida,s2_nota_quantidade_comida_justificativa,s2_nota_limpeza_rancho,s2_nota_limpeza_rancho_justificativa,s2_q5_local_boas_condicoes,s2_q6_alojamento_limpo,s2_q7_alojamento_boas_condicoes,s2_q8_banheiros_boas_condicoes,s2_q9_materiais_equipamentos,s2_q10_carga_trabalho_adequada,s2_q11_funcoes_claras,s2_equipamentos_texto,s2_q13_superiores_reconhecem,s2_q14_bom_relacionamento_colegas,s2_q15_superiores_orientam_apoiam,s2_q16_oportunidades_cursos,s2_q17_chances_crescer_carreira,s2_nota_orgulho_om,s2_nota_orgulho_om_justificativa,s2_melhoria_texto,s3_q1_energia_disposicao_freq,s3_q2_sobrecarregado_freq,s3_q3_dificuldade_relaxar_freq,s3_q4_dormiu_mal_freq,s3_q5_irritado_freq,s3_q6_lidou_bem_dificuldades_freq,s3_q7_apoiado_colegas_chefes_freq,s3_q8_sabe_recorrer_apoio,s3_q9_seguro_buscar_apoio_sem_discriminacao,s3_q10_equilibrio_emocional_bom,s3_fusex_usuario,s3_fusex_q11_atendimento_qualidade,s3_fusex_q12_atende_necessidades,s3_fusex_q13_facilidade_uso,s3_apostas_q14_costuma_apostar,s3_apostas_q15_aumentou_freq_valor,s3_apostas_q16_prejuizo_financeiro,s3_apostas_q17_afetou_trabalho,s3_apostas_q18_quis_parar_dificuldade,s3_comentario,s4_moradia,s4_deslocamento_tempo,s4_q3_soldo_compativel,s4_q4_renda_suficiente,s4_q5_consegue_guardar_dinheiro,s4_q6_moradia_adequada,s4_q7_deslocamento_razoavel,s4_q8_seguranca_financeira_futuro,s4_q9_financas_nao_afetam_desempenho,s4_nota_situacao_financeira,s4_nota_situacao_financeira_justificativa,s4_avaliacao_geral_financeira,s4_comentario,s5_q1_hierarquia_com_respeito,s5_q2_tratamento_igualdade,s5_q3_regras_iguais_para_todos,s5_q4_info_clara_a_tempo,s5_q5_avontade_falar_chefia,s5_q6_decisoes_explicadas_clareza,s5_q7_recebe_feedback,s5_q8_reunioes_objetivas,s5_q9_tempo_reunioes_formaturas_ok,s5_q10_planejamento_com_antecedencia,s5_q11_escalas_justas,s5_q12_avisado_mudancas_antecedencia,s5_q13_rotina_previsivel,s5_sugestao_texto,s6_nota_clima_geral,s6_nota_clima_geral_justificativa
98,2026-08-15,7º R C Mec,1º Tenente,De Carreira,Ensino Superior Incompleto (faculdade em andamento),"Casado(a) / união estável, sem filhos",Mora em outra cidade (longe de mim),3,4,1,3 a 4 vezes,3,3,3,7,Tem dias bons e dias ruins.,7,"Consigo equilibrar às vezes, mas nem sempre.",7,Poderia cuidar melhor do corpo.,8,Me sinto emocionalmente bem.,4,3,3,Nada a acrescentar.,6,"A comida é razoável, dá pra comer.",6,"Varia um pouco, mas podia ter mais opções.",3,Serve pouco e não dá pra repetir.,8,A higiene do local é muito boa.,2,2,3,2,3,3,2,Falta fardamento e botas em número suficiente.,1,3,2,2,1,7,Tenho um orgulho moderado da OM.,Reduzir a burocracia interna.,1,3,2,3,4,3,2,1,4,3,Sim,1.0,2.0,4.0,2,1,1,1,1,Nada a declarar.,Imóvel próprio,Até 15 minutos,3,1,1,2,2,2,3,4,Situação financeira apertada este mês.,"Apertada, mas sob controle",Nada a acrescentar.,4,3,4,4,4,1,1,3,2,1,4,3,3,"Manter como está, funciona bem.",10,"No geral, o ambiente é muito bom."
99,2026-08-10,3º R C Mec,1º Sargento,De Carreira,Ensino Superior Incompleto (faculdade em andamento),"Solteiro(a), com filhos","Sim, mora comigo",3,3,3,5 vezes ou mais,4,3,3,6,Tem dias bons e dias ruins.,4,O serviço toma quase todo o meu tempo.,4,Não tenho conseguido cuidar da saúde.,4,Ando estressado e ansioso.,4,4,4,Gostaria de mais apoio para militares com família longe.,4,A comida é sem sal e sem gosto.,5,"Varia um pouco, mas podia ter mais opções.",2,Serve pouco e não dá pra repetir.,7,"No geral está limpo, com algumas exceções.",2,3,2,2,2,4,3,Faltam viaturas disponíveis para treinar.,3,4,2,3,1,8,Tenho muito orgulho de pertencer a esta OM.,Melhorar as condições do alojamento.,5,3,2,3,2,3,3,3,2,4,Sim,3.0,2.0,3.0,2,1,2,1,3,Falta divulgar melhor onde buscar ajuda.,Imóvel alugado por conta própria,Até 15 minutos,3,3,1,2,2,1,3,4,Situação financeira apertada este mês.,Endividado(a) / com dificuldades,Sem comentários adicionais.,3,1,4,3,2,2,4,3,3,3,2,3,1,Avisar as escalas com mais antecedência.,5,"No geral, é razoável."
100,2026-08-15,2ª Bia AAAe,Cabo,Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, com filhos",Mora em outra cidade (longe de mim),3,3,2,3 a 4 vezes,2,4,2,10,Estou satisfeito com minha qualidade de vida.,6,Depende muito da semana.,6,Poderia cuidar melhor do corpo.,5,Tenho dias melhores e outros piores.,4,3,4,Nada a acrescentar.,5,"O sabor é ok, mas podia melhorar.",3,Falta variedade nas saladas e legumes.,6,A quantidade é suficiente na maioria dos dias.,2,As mesas nem sempre estão limpas.,2,2,3,4,3,3,4,"Sim, tenho tudo que preciso.",3,3,1,2,3,7,Tenho um orgulho moderado da OM.,Melhorar as condições do alojamento.,3,3,4,4,3,4,2,3,2,3,Não,,,,1,1,1,1,2,Seria bom ter mais palestras sobre saúde mental.,Alojamento na OM,Até 15 minutos,2,2,1,4,2,3,3,4,Situação financeira apertada este mês.,"Apertada, mas sob controle",Nada a acrescentar.,3,2,2,3,3,2,3,3,3,1,3,1,3,"Manter como está, funciona bem.",5,Tem pontos bons e outros a melhorar.
101,2026-08-18,25º GAC,Coronel,De Carreira,Pós-Graduação / Especialização,"Casado(a) / união estável, com filhos",Não se aplica,2,3,2,3 a 4 vezes,3,4,3,6,Tem dias bons e dias ruins.,4,Quase não sobra tempo pra família.,7,Poderia cuidar melhor do corpo.,5,Emocionalmente estou razoável.,4,3,4,Poderiam ajudar mais quem tem filhos pequenos.,3,A comida é sem sal e sem gosto.,5,De vez em quando tem prato diferente.,5,"Às vezes é pouco, mas geralmente dá.",5,"No geral está limpo, com algumas exceções.",3,1,2,3,2,3,4,O material é antigo e precisa de manutenção.,2,3,2,2,2,7,"Depende do dia, mas no geral é ok.",Mais reconhecimento pelo trabalho realizado.,4,4,3,2,4,2,3,3,2,4,Sim,2.0,3.0,3.0,1,2,1,1,1,Nada a declarar.,Próprio Nacional Residencial (PNR),De 15 a 30 minutos,1,3,1,2,4,1,2,4,O soldo não fecha com as contas.,Confortável,Nada a acrescentar.,3,3,4,4,2,3,2,3,2,3,3,2,3,Avisar as escalas com mais antecedência.,6,"No geral, é razoável."
102,2026-08-21,3º R C Mec,1º Tenente,De Carreira,Pós-Graduação / Especialização,"Solteiro(a), sem filhos",Não se aplica,2,3,3,5 vezes ou mais,2,2,4,7,Tem dias bons e dias ruins.,8,Consigo separar bem o trabalho da vida pessoal.,4,Ando com dores e cansaço físico.,7,Emocionalmente estou razoável.,4,4,3,Nada a acrescentar.,6,"A comida é razoável, dá pra comer.",4,"É sempre arroz, feijão e a mesma carne.",4,Serve pouco e não dá pra repetir.,5,"No geral está limpo, com algumas exceções.",3,2,2,3,3,2,3,"Sim, o material é suficiente para o dia a dia.",3,4,4,1,2,7,"Depende do dia, mas no geral é ok.",Melhorar a comunicação entre os setores.,3,3,2,2,4,5,1,2,4,2,Sim,2.0,2.0,3.0,1,1,1,1,1,Seria bom ter mais palestras sobre saúde mental.,Próprio Nacional Residencial (PNR),Até 15 minutos,3,2,3,2,2,1,3,3,Estou endividado e preocupado.,Confortável,Nada a acrescentar.,3,4,2,1,1,3,4,3,3,2,2,2,4,"Manter como está, funciona bem.",9,Estou satisfeito com o clima da OM.
103,2026-08-15,Esqd Cmdo,Cabo,Temporário,Ensino Superior Incompleto (faculdade em andamento),"Solteiro(a), sem filhos","Sim, mora comigo",4,3,2,Nenhuma vez,2,2,3,8,Consigo equilibrar bem minha vida.,6,"Consigo equilibrar às vezes, mas nem sempre.",6,Poderia cuidar melhor do corpo.,7,Emocionalmente estou razoável.,3,3,3,Poderiam ajudar mais quem tem filhos pequenos.,5,"A comida é razoável, dá pra comer.",5,De vez em quando tem prato diferente.,7,"Às vezes é pouco, mas geralmente dá.",5,"A limpeza é razoável, mas podia melhorar.",3,1,2,2,3,2,3,"Sim, o material é suficiente para o dia a dia.",2,4,3,2,2,9,Tenho muito orgulho de pertencer a esta OM.,Mais oportunidades de curso.,4,4,3,2,3,2,2,3,3,3,Não,,,,2,1,1,1,2,Seria bom ter mais palestras sobre saúde mental.,Moradia cedida / com familiares,Mais de 60 minutos,2,1,2,4,3,2,1,5,Consigo me organizar razoavelmente.,Estável / equilibrada,Gostaria de mais clareza sobre os descontos no contracheque.,3,3,3,3,2,1,1,4,3,1,2,1,3,Melhorar o mural de avisos.,6,"No geral, é razoável."
104,2026-08-12,3º B Log,Subtenente,De Carreira,Ensino Superior Incompleto (faculdade em andamento),"Solteiro(a), com filhos",Mora em outra cidade (longe de mim),4,4,3,5 vezes ou mais,3,1,3,5,Minha qualidade de vida é razoável.,4,O serviço toma quase todo o meu tempo.,6,"Minha saúde física está ok, nada grave.",5,Emocionalmente estou razoável.,4,4,3,Gostaria de mais apoio para militares com família longe.,3,A comida é sem sal e sem gosto.,3,"É sempre arroz, feijão e a mesma carne.",7,A quantidade é suficiente na maioria dos dias.,8,O rancho é sempre limpo e organizado.,2,4,2,1,3,3,3,O material é antigo e precisa de manutenção.,3,2,2,4,3,8,Sinto-me honrado em servir aqui.,Melhorar o rancho.,3,4,3,3,2,3,2,2,3,1,Sim,3.0,3.0,2.0,2,1,2,1,2,Sem comentários adicionais.,Moradia cedida / com familiares,De 15 a 30 minutos,2,1,2,2,3,3,2,4,Situação financeira apertada este mês.,Confortável,O soldo não acompanha a inflação.,4,4,3,4,3,2,3,3,2,3,2,2,3,Avisar as escalas com mais antecedência.,5,"No geral, é razoável."
105,2026-08-11,25º GAC,Soldado (Efetivo Profissional – EP),Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, com filhos","Sim, mora comigo",2,2,4,3 a 4 vezes,3,3,4,4,Tenho pouco tempo para mim mesmo.,4,Quase não sobra tempo pra família.,5,Poderia cuidar melhor do corpo.,7,Emocionalmente estou razoável.,4,3,3,Nada a acrescentar.,3,Falta tempero na maioria dos pratos.,4,"É sempre arroz, feijão e a mesma carne.",6,A quantidade é suficiente na maioria dos dias.,8,O rancho é sempre limpo e organizado.,2,1,2,2,4,2,2,Faltam viaturas disponíveis para treinar.,3,3,3,3,2,7,"Depende do dia, mas no geral é ok.",Melhorar o rancho.,2,3,2,2,2,4,4,2,1,2,Não,,,,3,1,1,2,1,Seria bom ter mais palestras sobre saúde mental.,Imóvel alugado por conta própria,De 15 a 30 minutos,3,1,1,3,3,1,4,4,O soldo não fecha com as contas.,Estável / equilibrada,Sem comentários adicionais.,3,3,1,1,3,3,2,3,3,1,1,3,3,"Manter como está, funciona bem.",6,Tem pontos bons e outros a melhorar.
106,2026-08-20,3º Pel PE,Soldado (Efetivo Profissional – EP),Temporário,Ensino Fundamental Completo,"Casado(a) / união estável, com filhos","Sim, mora comigo",3,4,2,5 vezes ou mais,2,4,3,7,Minha qualidade de vida é razoável.,5,"Consigo equilibrar às vezes, mas nem sempre.",5,Poderia cuidar melhor do corpo.,7,Emocionalmente estou razoável.,4,1,4,Gostaria de mais apoio para militares com família longe.,7,"A comida é razoável, dá pra comer.",4,"É sempre arroz, feijão e a mesma carne.",3,A quantidade servida é pouca.,7,"A limpeza é razoável, mas podia melhorar.",2,3,2,3,1,3,4,Falta material de instrução em bom estado.,2,3,1,2,1,8,Sinto-me honrado em servir aqui.,Mais reconhecimento pelo trabalho realizado.,3,3,2,2,2,4,3,2,2,3,Não,,,,2,3,1,1,1,Nada a declarar.,Alojamento na OM,De 30 a 60 minutos,1,2,1,4,2,3,3,5,"Dá para pagar as contas, mas sem sobra.","Apertada, mas sob controle",Sem comentários adicionais.,2,4,1,3,3,3,1,2,2,3,2,3,4,Fazer reuniões mais curtas e objetivas.,6,"No geral, é razoável."
107,2026-08-10,2ª Bia AAAe,Cabo,Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, sem filhos",Não se aplica,3,3,4,3 a 4 vezes,3,4,3,7,Minha qualidade de vida é razoável.,7,"Consigo equilibrar às vezes, mas nem sempre.",6,"Minha saúde física está ok, nada grave.",5,Emocionalmente estou razoável.,4,3,4,Sem observações relevantes.,5,"A comida é razoável, dá pra comer.",6,De vez em quando tem prato diferente.,7,"Às vezes é pouco, mas geralmente dá.",7,"No geral está limpo, com algumas exceções.",2,3,1,3,2,2,4,"Sim, o material é suficiente para o dia a dia.",3,3,3,1,3,8,Sinto-me honrado em servir aqui.,Melhorar a comunicação entre os setores.,3,4,3,2,3,4,5,4,3,3,Não,,,,2,1,1,1,2,Seria bom ter mais palestras sobre saúde mental.,Alojamento na OM,De 30 a 60 minutos,1,1,2,2,2,3,3,6,Consigo me organizar razoavelmente.,"Apertada, mas sob controle",Sem comentários adicionais.,4,1,4,2,4,4,2,3,1,4,4,3,2,"Manter como está, funciona bem.",7,"No geral, é razoável."
108,2026-08-12,3º R C Mec,Major,De Carreira,Mestrado,"Casado(a) / união estável, com filhos",Mora em outra cidade (longe de mim),4,3,4,3 a 4 vezes,3,3,4,6,Minha qualidade de vida é razoável.,8,Consigo separar bem o trabalho da vida pessoal.,6,Poderia cuidar melhor do corpo.,4,Minha cabeça anda muito cheia.,4,3,4,Nada a acrescentar.,5,"O sabor é ok, mas podia melhorar.",3,"É sempre arroz, feijão e a mesma carne.",7,A quantidade é suficiente na maioria dos dias.,7,"No geral está limpo, com algumas exceções.",1,2,2,3,2,1,4,Faltam viaturas disponíveis para treinar.,2,3,3,2,1,6,"Depende do dia, mas no geral é ok.",Melhorar o rancho.,3,2,4,1,3,2,4,2,2,2,Sim,3.0,2.0,2.0,1,1,2,1,3,Nada a declarar.,Próprio Nacional Residencial (PNR),De 15 a 30 minutos,1,2,2,3,2,1,4,4,O soldo não fecha com as contas.,"Apertada, mas sob controle",Nada a acrescentar.,4,2,3,2,2,3,4,3,3,4,2,3,4,Fazer reuniões mais curtas e objetivas.,7,"No geral, é razoável."
109,2026-08-21,3º B Log,Tenente-Coronel,De Carreira,Mestrado,"Casado(a) / união estável, com filhos",Mora em outra cidade (longe de mim),4,2,3,Nenhuma vez,3,4,3,5,Tem dias bons e dias ruins.,6,"Consigo equilibrar às vezes, mas nem sempre.",7,"Minha saúde física está ok, nada grave.",3,Minha cabeça anda muito cheia.,4,4,4,Nada a acrescentar.,6,"A comida é razoável, dá pra comer.",2,Repete muito o cardápio na mesma semana.,5,"Às vezes é pouco, mas geralmente dá.",5,"A limpeza é razoável, mas podia melhorar.",2,2,2,2,3,3,3,"Sim, tenho tudo que preciso.",2,2,3,4,2,5,Tenho um orgulho moderado da OM.,Reduzir a burocracia interna.,3,3,2,2,3,3,4,1,2,1,Sim,4.0,2.0,4.0,1,1,2,1,2,Falta divulgar melhor onde buscar ajuda.,Imóvel próprio,Até 15 minutos,1,2,3,3,1,3,4,2,O soldo não fecha com as contas.,Endividado(a) / com dificuldades,Nada a acrescentar.,2,4,3,2,3,2,3,3,2,3,2,2,2,"Manter como está, funciona bem.",4,Precisa melhorar bastante.
110,2026-08-10,3º Pel PE,3º Sargento,Temporário,Ensino Médio Completo / Técnico,"Solteiro(a), sem filhos","Sim, mora comigo",4,4,4,Nenhuma vez,1,4,3,5,Minha qualidade de vida é razoável.,8,Consigo separar bem o trabalho da vida pessoal.,7,"Minha saúde física está ok, nada grave.",9,Me sinto emocionalmente bem.,3,4,3,Poderiam ajudar mais quem tem filhos pequenos.,4,Falta tempero na maioria dos pratos.,5,"Varia um pouco, mas podia ter mais opções.",6,A quantidade é suficiente na maioria dos dias.,3,Falta higiene na hora de servir.,3,1,1,4,4,3,4,O material é antigo e precisa de manutenção.,3,3,1,3,1,6,Tenho um orgulho moderado da OM.,Melhorar o rancho.,5,3,2,2,4,4,3,3,2,4,Sim,2.0,2.0,3.0,1,1,1,2,1,Sem comentários adicionais.,Imóvel próprio,Até 15 minutos,2,1,4,2,2,3,4,5,"Dá para pagar as contas, mas sem sobra.","Apertada, mas sob controle",Gostaria de mais clareza sobre os descontos no contracheque.,3,2,3,2,3,2,2,4,3,1,4,3,4,Fazer reuniões mais curtas e objetivas.,7,"No geral, é razoável."
111,2026-08-19,7º R C Mec,Cabo,De Carreira,Ensino Médio Completo / Técnico,"Solteiro(a), sem filhos","Sim, mora comigo",2,2,4,3 a 4 vezes,3,2,2,6,Minha qualidade de vida é razoável.,6,Depende muito da semana.,6,"Minha saúde física está ok, nada grave.",7,Emocionalmente estou razoável.,4,3,3,Poderiam ajudar mais quem tem filhos pequenos.,6,"O sabor é ok, mas podia melhorar.",8,Gosto que muda bastante durante a semana.,4,Muitas vezes acaba a comida antes de todos se servirem.,4,As mesas nem sempre estão limpas.,3,4,3,3,4,2,2,Faltam viaturas disponíveis para treinar.,2,4,3,2,3,5,"Depende do dia, mas no geral é ok.",Mais oportunidades de curso.,5,1,3,1,3,4,5,3,2,3,Não,,,,2,1,2,1,1,Falta divulgar melhor onde buscar ajuda.,Imóvel alugado por conta própria,Até 15 minutos,3,3,2,3,3,3,3,6,Consigo me organizar razoavelmente.,"Apertada, mas sob controle",O soldo não acompanha a inflação.,2,4,4,3,3,2,2,1,2,2,2,2,2,Fazer reuniões mais curtas e objetivas.,4,Precisa melhorar bastante.
112,2026-08-18,7º R C Mec,2º Sargento,De Carreira,Ensino Médio Completo / Técnico,"Solteiro(a), com filhos","Sim, mora comigo",4,3,2,3 a 4 vezes,2,2,1,4,Ando cansado e sem tempo de qualidade.,4,Trabalho demais e descanso de menos.,6,Poderia cuidar melhor do corpo.,6,Tenho dias melhores e outros piores.,3,4,4,Nada a acrescentar.,3,Falta tempero na maioria dos pratos.,4,Falta variedade nas saladas e legumes.,6,A quantidade é suficiente na maioria dos dias.,5,"A limpeza é razoável, mas podia melhorar.",4,2,3,3,1,2,2,O material é antigo e precisa de manutenção.,3,3,3,3,2,8,Sinto-me honrado em servir aqui.,Melhorar as condições do alojamento.,4,2,3,4,3,5,2,2,2,4,Sim,2.0,3.0,2.0,1,2,1,1,1,Falta divulgar melhor onde buscar ajuda.,Imóvel próprio,De 15 a 30 minutos,1,2,1,3,3,1,3,1,Estou endividado e preocupado.,"Apertada, mas sob controle",Gostaria de mais clareza sobre os descontos no contracheque.,3,3,3,2,2,3,3,2,2,3,3,2,2,Melhorar o mural de avisos.,8,Estou satisfeito com o clima da OM.
113,2026-08-19,3º Pel PE,Soldado (Efetivo Profissional – EP),Temporário,Ensino Fundamental Completo,"Casado(a) / união estável, com filhos","Sim, mora comigo",3,3,3,Nenhuma vez,2,2,3,6,Minha qualidade de vida é razoável.,7,Depende muito da semana.,5,Poderia cuidar melhor do corpo.,3,Ando estressado e ansioso.,3,4,4,Sem observações relevantes.,3,A comida é sem sal e sem gosto.,2,Repete muito o cardápio na mesma semana.,4,Muitas vezes acaba a comida antes de todos se servirem.,6,"A limpeza é razoável, mas podia melhorar.",2,3,3,2,3,4,2,O material é antigo e precisa de manutenção.,2,3,2,3,2,8,Sinto-me honrado em servir aqui.,Melhorar a comunicação entre os setores.,3,5,1,3,2,4,2,3,3,3,Não,,,,1,1,1,1,1,Sem comentários adicionais.,Alojamento na OM,De 30 a 60 minutos,2,2,3,3,2,3,4,5,"Dá para pagar as contas, mas sem sobra.",Estável / equilibrada,Gostaria de mais clareza sobre os descontos no contracheque.,2,4,3,1,3,1,3,2,3,2,2,2,4,Fazer reuniões mais curtas e objetivas.,9,"No geral, o ambiente é muito bom."
114,2026-08-17,25º GAC,2º Sargento,De Carreira,Ensino Médio Completo / Técnico,"Casado(a) / união estável, sem filhos",Mora em outra cidade (longe de mim),3,4,2,3 a 4 vezes,2,1,3,7,Tem dias bons e dias ruins.,6,"Consigo equilibrar às vezes, mas nem sempre.",6,Poderia cuidar melhor do corpo.,9,Estou tranquilo e equilibrado.,4,3,4,Sem observações relevantes.,6,"O sabor é ok, mas podia melhorar.",5,De vez em quando tem prato diferente.,6,"Às vezes é pouco, mas geralmente dá.",7,"A limpeza é razoável, mas podia melhorar.",4,3,2,3,2,3,3,"Sim, o material é suficiente para o dia a dia.",4,4,3,3,3,7,"Depende do dia, mas no geral é ok.",Melhorar as condições do alojamento.,4,3,1,4,2,3,4,3,3,1,Sim,3.0,4.0,3.0,2,1,1,1,1,Nada a declarar.,Imóvel próprio,De 15 a 30 minutos,1,2,2,3,4,2,4,7,Consigo me organizar razoavelmente.,"Apertada, mas sob controle",O soldo não acompanha a inflação.,3,3,3,3,2,3,1,4,2,2,2,2,2,Melhorar o mural de avisos.,7,"No geral, é razoável."
115,2026-08-21,9º RCB,Soldado (Efetivo Profissional – EP),Temporário,Ensino Fundamental Completo,"Casado(a) / união estável, com filhos",Mora em outra cidade (longe de mim),3,3,3,Nenhuma vez,3,1,3,6,Tem dias bons e dias ruins.,6,Depende muito da semana.,7,"Minha saúde física está ok, nada grave.",7,Tenho dias melhores e outros piores.,4,2,3,Gostaria de mais apoio para militares com família longe.,3,A comida é sem sal e sem gosto.,5,De vez em quando tem prato diferente.,6,A quantidade é suficiente na maioria dos dias.,6,"A limpeza é razoável, mas podia melhorar.",3,2,1,3,3,3,3,"Sim, o material é suficiente para o dia a dia.",3,4,3,2,2,6,"Depende do dia, mas no geral é ok.",Melhorar o rancho.,4,3,3,4,1,4,3,4,2,3,Não,,,,2,4,1,1,1,Sem comentários adicionais.,Imóvel alugado por conta própria,De 15 a 30 minutos,2,3,1,1,2,3,2,5,"Dá para pagar as contas, mas sem sobra.",Endividado(a) / com dificuldades,Nada a acrescentar.,4,2,1,2,2,3,1,2,2,2,2,2,3,"Manter como está, funciona bem.",6,"No geral, é razoável."
116,2026-08-19,3º R C Mec,Cabo,Temporário,Ensino Superior Incompleto (faculdade em andamento),"Solteiro(a), com filhos","Sim, mora comigo",3,4,2,3 a 4 vezes,3,3,3,6,Tem dias bons e dias ruins.,3,O serviço toma quase todo o meu tempo.,7,Poderia cuidar melhor do corpo.,5,Emocionalmente estou razoável.,4,4,4,Nada a acrescentar.,6,"Alguns dias está boa, outros nem tanto.",2,"É sempre arroz, feijão e a mesma carne.",6,A quantidade é suficiente na maioria dos dias.,5,"A limpeza é razoável, mas podia melhorar.",3,4,2,2,4,3,4,Faltam viaturas disponíveis para treinar.,3,3,3,3,3,8,Sinto-me honrado em servir aqui.,Melhorar o rancho.,2,3,3,4,1,3,4,3,3,1,Não,,,,2,1,1,1,2,Nada a declarar.,Moradia cedida / com familiares,De 15 a 30 minutos,1,2,1,3,3,3,2,6,"Dá para pagar as contas, mas sem sobra.","Apertada, mas sob controle",Sem comentários adicionais.,4,4,4,3,3,1,3,3,4,2,3,2,2,Fazer reuniões mais curtas e objetivas.,4,Muitos pontos a corrigir.
117,2026-08-14,2ª Bia AAAe,2º Sargento,Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, sem filhos",Não se aplica,3,3,2,1 a 2 vezes,2,3,2,6,Tem dias bons e dias ruins.,5,Depende muito da semana.,5,Poderia cuidar melhor do corpo.,9,Estou tranquilo e equilibrado.,4,2,4,Gostaria de mais apoio para militares com família longe.,3,O tempero está sempre muito fraco.,1,"É sempre arroz, feijão e a mesma carne.",7,A quantidade é suficiente na maioria dos dias.,7,"A limpeza é razoável, mas podia melhorar.",4,2,1,3,4,3,3,Falta material de instrução em bom estado.,1,4,3,1,2,7,Tenho um orgulho moderado da OM.,Melhorar o rancho.,3,3,3,3,3,4,4,1,4,3,Sim,1.0,2.0,4.0,1,1,2,1,1,Nada a declarar.,Moradia cedida / com familiares,De 15 a 30 minutos,2,2,1,3,2,3,4,3,Estou endividado e preocupado.,"Apertada, mas sob controle",Nada a acrescentar.,4,3,3,2,4,1,3,2,2,1,2,2,2,"Manter como está, funciona bem.",6,"No geral, é razoável."
118,2026-08-20,3ª Cia Eng Cmb Mec,Soldado (Efetivo Variável – EV / Recruta),Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, sem filhos",Mora em outra cidade (longe de mim),3,3,1,3 a 4 vezes,3,1,2,4,A rotina no quartel é muito puxada.,9,Tenho tempo suficiente para minha família.,6,Poderia cuidar melhor do corpo.,8,Me sinto emocionalmente bem.,4,3,3,Sem observações relevantes.,3,Falta tempero na maioria dos pratos.,2,Falta variedade nas saladas e legumes.,4,Serve pouco e não dá pra repetir.,6,"A limpeza é razoável, mas podia melhorar.",2,2,2,4,3,4,4,Falta material de instrução em bom estado.,4,2,2,3,2,7,Tenho um orgulho moderado da OM.,Reduzir a burocracia interna.,3,3,4,3,4,2,4,4,2,4,Não,,,,1,1,1,1,2,Seria bom ter mais palestras sobre saúde mental.,Moradia cedida / com familiares,De 15 a 30 minutos,2,2,1,3,3,2,3,5,Consigo me organizar razoavelmente.,"Apertada, mas sob controle",O soldo não acompanha a inflação.,2,3,4,2,2,2,4,3,3,2,2,1,3,"Manter como está, funciona bem.",4,Precisa melhorar bastante.
119,2026-08-21,3º B Log,Soldado (Efetivo Profissional – EP),Temporário,Ensino Médio Completo / Técnico,"Casado(a) / união estável, sem filhos",Mora em outra cidade (longe de mim),3,3,3,3 a 4 vezes,4,3,2,5,Minha qualidade de vida é razoável.,6,Depende muito da semana.,9,Me sinto bem fisicamente.,5,Emocionalmente estou razoável.,3,4,4,Sem observações relevantes.,6,"O sabor é ok, mas podia melhorar.",3,"É sempre arroz, feijão e a mesma carne.",6,"Às vezes é pouco, mas geralmente dá.",5,"No geral está limpo, com algumas exceções.",3,2,3,2,3,1,3,"Sim, tenho tudo que preciso.",1,3,2,2,1,8,Tenho muito orgulho de pertencer a esta OM.,Melhorar as condições do alojamento.,5,3,3,3,3,1,3,2,4,3,Não,,,,2,2,1,1,1,Falta divulgar melhor onde buscar ajuda.,Alojamento na OM,De 15 a 30 minutos,1,2,1,2,1,3,3,4,Situação financeira apertada este mês.,"Apertada, mas sob controle",Sem comentários adicionais.,2,4,2,3,4,2,2,2,2,2,2,1,3,Avisar as escalas com mais antecedência.,3,O ambiente está bem desgastado.
